,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
1,NVDA,1049.01,1425.27,-376.26,114900.92,74095.43,261,57,21.8,57.39
2,FIX,982.7,2247.94,-1265.23,108270.49,46571.52,261,41,15.7,38.35
3,WDC,673.61,735.44,-61.83,77360.75,30873.11,261,47,18.0,57.12
4,STX,639.55,787.58,-148.03,73955.45,29486.13,261,43,16.5,53.42
5,TRGP,610.19,687.97,-77.78,71019.15,16455.76,261,37,14.2,29.74
6,VRT,574.9,1343.06,-768.16,67489.93,47671.06,261,67,25.7,69.22
7,LITE,569.06,1016.41,-447.35,66905.81,49733.45,261,55,21.1,57.62
8,PWR,551.64,701.78,-150.14,65164.48,19544.06,261,36,13.8,28.31
9,VST,535.48,816.51,-281.03,63547.86,78496.68,261,45,17.2,44.82
10,AVGO,504.52,921.99,-417.47,60451.7,36707.76,261,37,14.2,34.02
11,CIEN,502.48,882.08,-379.61,60247.51,27407.27,261,48,18.4,50.58
12,EME,454.12,632.33,-178.21,55411.55,17207.61,261,31,11.9,29.76
13,HWM,445.2,671.74,-226.54,54519.83,13365.12,261,28,10.7,23.36
14,MPWR,406.12,364.36,41.76,50611.63,39917.99,261,52,19.9,43.7
15,KLAC,401.59,488.92,-87.33,50159.22,25926.86,261,46,17.6,37.62
16,JBL,392.55,534.27,-141.71,49255.41,18526.4,261,41,15.7,30.38
17,MU,353.89,761.35,-407.46,45389.06,28194.72,261,56,21.5,55.19
18,MPC,351.81,387.87,-36.06,45180.93,13851.87,261,38,14.6,41.9
19,NRG,335.57,322.25,13.32,43556.63,33475.76,261,34,13.0,30.89
20,GE,325.76,349.78,-24.02,42576.13,10489.66,261,27,10.3,43.41
21,LLY,321.93,419.13,-97.2,42193.17,17885.21,261,30,11.5,37.18
22,IBKR,311.41,430.5,-119.09,41140.87,13466.58,261,32,12.3,35.22
23,VLO,309.53,294.23,15.3,40953.17,15943.69,261,39,14.9,38.19
24,DELL,301.68,423.41,-121.73,40167.96,28146.16,261,42,16.1,52.86
25,COHR,293.69,450.66,-156.97,39368.56,32197.95,261,63,24.1,61.5
26,WMB,272.56,273.66,-1.09,37256.26,3874.57,261,17,6.5,20.83
27,CBOE,269.78,248.84,20.94,36977.89,2505.94,261,3,1.1,19.94
28,APH,268.75,282.73,-13.98,36874.75,13219.94,261,20,7.7,27.65
29,GLW,265.58,366.75,-101.17,36557.51,12636.89,261,25,9.6,41.11
30,SMCI,264.41,759.33,-494.93,36440.5,195812.47,261,72,27.6,75.52
31,MCK,258.42,298.23,-39.81,35841.67,6335.14,261,11,4.2,26.63
32,RL,257.03,196.69,60.34,35702.94,13464.42,261,28,10.7,33.71
33,LRCX,256.97,367.82,-110.85,35696.7,19768.34,261,51,19.5,58.19
34,FANG,253.87,232.13,21.74,35387.24,18783.47,261,38,14.6,44.41
35,TPR,253.12,241.44,11.69,35312.12,15464.1,261,37,14.2,39.49
36,SATS,245.69,415.68,-169.99,34569.23,28601.06,261,52,19.9,65.42
37,CAT,240.77,302.08,-61.3,34077.02,6716.04,261,32,12.3,33.64
38,ANET,240.25,574.95,-334.7,34024.52,33077.93,261,58,22.2,47.67
39,TKO,236.37,281.31,-44.94,33637.31,11006.71,261,22,8.4,28.58
40,BK,235.24,209.97,25.27,33524.08,3249.15,261,10,3.8,37.54
41,ON,228.22,184.01,44.2,32821.53,38847.47,261,51,19.5,58.11
42,CASY,224.67,301.49,-76.82,32467.19,4207.78,261,21,8.0,19.38
43,XOM,224.26,227.81,-3.54,32426.33,5748.49,261,17,6.5,18.76
44,WAB,219.91,241.23,-21.32,31991.36,4840.02,261,17,6.5,21.3
45,AMD,214.1,439.32,-225.22,31410.02,34258.54,261,60,23.0,57.63
46,COST,208.7,196.22,12.48,30869.9,3011.44,261,9,3.4,30.56
47,CAH,208.7,292.98,-84.28,30869.91,4723.88,261,15,5.7,20.17
48,WELL,208.14,227.46,-19.32,30813.82,2489.73,261,12,4.6,40.36
49,EQT,207.81,179.44,28.37,30781.28,22649.36,261,43,16.5,35.11
50,CMI,206.51,197.73,8.79,30651.11,5333.99,261,15,5.7,29.55
51,PANW,203.73,333.55,-129.82,30372.98,20178.04,261,39,14.9,34.38
